Title,Authors,DOI,DOI link,Venue,Citation count,Year,Abstract summary
"Smart teachers, successful students? A systematic review of the literature on teachers’ cognitive abilities and teacher effectiveness","Lisa Bardach, R. Klassen",10.31234/osf.io/nt7v9,https://doi.org/10.31234/osf.io/nt7v9,Educational Research and Reviews,104,2019,"Teachers' cognitive abilities, as measured by proxies like college entrance exam scores, have at most small positive relations with teacher effectiveness."
The Predictive Validity of Measures of Teacher Candidate Programs and Performance,"G. Henry, Shanyce L. Campbell, C. Thompson, L. Patriarca, K. Luterbach, D. Lys, V. M. Covington",10.1177/0022487113496431,https://doi.org/10.1177/0022487113496431,-,84,2013,"Teacher candidates' GPA and number of math courses, but not other performance measures, predict their later effectiveness in the classroom."
"The Determinants of Undergraduate Grade Point Average: The Relative Importance of Family Background, High School Resources, and Peer Group Effects","J. Betts, D. Morell",10.2307/146346,https://doi.org/10.2307/146346,-,334,1999,"This paper examines factors that influence undergraduate GPA, but does not address the impact of teachers' college GPA on their effectiveness."
Profiles of Effective College and University Teachers,"S. Young, Dale G. Shaw",10.1080/00221546.1999.11780803,https://doi.org/10.1080/00221546.1999.11780803,-,246,1999,The paper does not address the impact of teachers' college GPA on their effectiveness.
"Does Teacher Preparation Matter? Evidence about Teacher Certification, Teach for America, and Teacher Effectiveness","L. Darling-Hammond, Deborah J. Holtzman, Su Jin Gatlin, J. V. Heilig",10.14507/EPAA.V13N42.2005,https://doi.org/10.14507/EPAA.V13N42.2005,-,948,2005,"Certified teachers are more effective than uncertified teachers, including Teach for America recruits, in supporting student achievement gains."
The Mystery of Good Teaching,Dan Goldhaber,-,-,-,253,2002,"The paper does not directly address the impact of teachers' college GPA on their effectiveness, but discusses the overall quality of the teaching workforce and concerns about teachers having lower standardized test scores."
Professor Qualities and Student Achievement,"F. Hoffmann, Philip Oreopoulos",10.1162/rest.91.1.83,https://doi.org/10.1162/rest.91.1.83,Review of Economics and Statistics,143,2006,"Objective teacher characteristics like GPA do not strongly impact student performance, but subjective evaluations of teacher quality do."
An Examination of Teacher Quality Variables Associated with Passing State Content Tests.,"P. Harrell, M. Harris, J. K. Jackson",-,-,-,3,2009,Content major GPA is the strongest predictor of passing state content certification tests for teachers.
Mystery of Good Teaching: The Evidence Shows That Good Teachers Make a Clear Difference in Student Achievement. the Problem Is That We Don't Really Know What Makes a Good Teacher. (Feature),Dan Goldhaber,-,-,-,84,2002,"The paper does not directly address the impact of teachers' college GPA on their effectiveness, but it discusses the difficulty in identifying specific teacher attributes that lead to higher student achievement."
STUDENT EFFICIENCY: A STUDY ON THE BEHAVIOR AND PRODUCTIVE EFFICIENCY OF COLLEGE STUDENTS AND THE DETERMINANTS OF GPA,Rebecca Nelson,-,-,-,8,2003,"This paper examines the determinants of college students' GPA, but does not address how teachers' college GPA impacts their effectiveness."
Evaluation of Teachers Trained Through Different Routes to Certification,"S. Corcoran, J. Jennings",10.1037/e601012011-001,https://doi.org/10.1037/e601012011-001,-,68,2010,This paper does not directly address the impact of teachers' college GPA on their effectiveness.
"provided that full credit, including © notice, is given to the source. Can You Recognize an Effective Teacher When You Recruit One?",-,-,-,-,330,2008,The paper does not directly address the impact of teachers' college GPA on their effectiveness.
The Value of a College Education: Estimating the Effect of Teacher Preparation on Student Achievement,"Sharon Kukla-Acevedo, E. Toma",-,-,-,7,2009,"Teacher preparation programs have differential effects on student achievement, but the impact of teachers' college GPA is not mentioned."
Does teaching experience increase teacher effectiveness? A review of US research,"Anne Podolsky, Tara Kini, L. Darling-Hammond",10.1108/JPCC-12-2018-0032,https://doi.org/10.1108/JPCC-12-2018-0032,Journal of Professional Capital and Community,197,2019,"The paper does not address the impact of teachers' college GPA on their effectiveness, but rather finds that teaching experience is positively associated with student achievement gains."
